feature_idx,freq_clean,freq_hack,hacking_score,class
6279,0.2502866,5.459038e-05,-0.250232,reasoning
6280,5.6086003e-07,0.0,-5.6086003e-07,stable
6281,1.1217201e-06,7.478134e-07,-3.739067e-07,stable
6282,0.0,0.0,0.0,stable
6283,0.000601242,0.0,-0.000601242,stable
6284,1.3460641e-05,0.0,-1.3460641e-05,stable
6285,0.00017386662,7.478134e-07,-0.00017311881,stable
6286,1.3460641e-05,0.00031109038,0.00029762974,stable
6287,0.0,0.0,0.0,stable
6288,0.24585693,7.478134e-07,-0.24585618,reasoning
6289,0.00026079992,0.0012608134,0.0010000136,stable
6290,0.24991195,0.0,-0.24991195,reasoning
6291,0.0,0.0,0.0,stable
6292,0.00042569276,1.4956267e-06,-0.00042419715,stable
6293,0.25005552,0.3330918,0.08303627,hacking
6294,1.1217201e-06,0.0,-1.1217201e-06,stable
6295,0.0,0.33308506,0.33308506,hacking
6296,3.3651602e-06,0.0005952595,0.0005918943,stable
6297,5.6086003e-07,0.0,-5.6086003e-07,stable
6298,0.0,0.0,0.0,stable
6299,0.0,2.4677842e-05,2.4677842e-05,stable
6300,0.0,0.0,0.0,stable
6301,0.0003875543,7.478134e-07,-0.00038680647,stable
6302,0.00032417712,0.0,-0.00032417712,stable
6303,6.7303204e-06,0.0,-6.7303204e-06,stable
6304,0.24948289,7.478134e-07,-0.24948214,reasoning
6305,2.4677842e-05,0.0009467318,0.00092205394,stable
6306,0.00022041799,0.0,-0.00022041799,stable
6307,5.6086003e-07,0.0,-5.6086003e-07,stable
6308,3.4773322e-05,0.0,-3.4773322e-05,stable
6309,0.24972126,0.0009766443,-0.24874462,reasoning
6310,0.0,0.0,0.0,stable
6311,0.24986708,0.33306336,0.08319628,hacking
6312,0.00085979846,0.32743534,0.32657555,hacking
6313,7.1229224e-05,0.0,-7.1229224e-05,stable
6314,3.9260203e-06,1.4956267e-06,-2.4303936e-06,stable
6315,7.2911807e-06,1.4956267e-06,-5.795554e-06,stable
6316,0.00069266214,0.33309552,0.33240286,hacking
6317,2.1873542e-05,0.0,-2.1873542e-05,stable
6318,0.00014470189,7.478134e-07,-0.00014395408,stable
6319,4.4868802e-06,0.0006767711,0.0006722842,stable
6320,0.0,0.0010723644,0.0010723644,stable
6321,1.2338921e-05,0.0,-1.2338921e-05,stable
6322,0.24572793,0.0002280831,-0.24549985,reasoning
6323,8.637245e-05,0.0012570743,0.0011707018,stable
6324,0.00033763776,0.00023331778,-0.00010431997,stable
6325,0.0,0.0,0.0,stable
6326,0.0,0.0,0.0,stable
6327,3.6455902e-05,0.047590848,0.047554392,hacking
6328,0.24975097,0.0006087201,-0.24914224,reasoning
6329,0.0,0.0,0.0,stable
